# t	 x	 v	 s (state)
0.000000	0.000000	0.000000	1
0.001000	0.000000	-0.008078	1
5.000000	1.620909	-0.741565	1
10.001000	2.193439	0.355122	1
15.001000	1.469624	1.048420	1
20.000000	1.601385	0.212373	1
25.000000	0.969018	-1.535138	2
30.000000	0.524607	-0.057136	2
35.000000	0.344048	-0.836549	2
40.001000	1.992484	0.318337	2
45.001000	0.976730	0.745226	2
50.001000	0.394715	-0.859088	2
55.001000	0.521287	0.581040	2
60.001000	1.146701	1.486839	2
65.001000	2.990250	1.155275	2
70.001000	1.595915	0.825025	2
75.001000	1.359324	0.662067	2
80.000000	3.623533	0.875903	2
85.000000	3.757625	-0.089861	2
90.000000	1.764738	-1.340772	2
95.000000	4.430608	1.575543	2
100.000000	6.339340	0.104836	2
105.000000	2.297202	1.208354	2
110.000000	-1.278440	-0.390377	2
115.000000	-1.675865	1.106504	2
120.000000	-3.382264	-0.691818	2
125.000000	-8.579060	0.301775	2
130.000000	-9.611232	-1.320330	2
135.000000	-10.114039	-0.290249	2
140.000000	-4.532873	-0.255054	2
145.000000	-4.770715	-1.683843	2
150.000000	-9.852642	-0.343144	2
155.000000	-8.208995	-1.906744	2
160.000000	-10.351524	-0.529034	2
165.000000	-8.142385	0.173290	2
170.000000	-3.905880	1.392137	2
175.000000	-4.525431	-1.083229	2
180.000000	-7.526408	1.215720	2
185.000000	-9.133464	0.867459	2
190.000000	-9.297259	0.758626	2
195.000000	-7.270590	1.143729	2
200.000000	-8.424571	-1.174304	2
205.000000	-13.981463	-0.652307	2
210.000000	-16.917629	-0.146313	2
215.000000	-17.943503	-0.302071	2
220.000000	-16.354011	-1.088043	2
225.000000	-18.681382	-0.319387	2
230.000000	-17.478174	0.070718	2
235.000000	-16.063326	-0.019238	2
240.000000	-18.466007	-0.180737	2
245.000000	-19.817419	0.736976	2
250.000000	-15.310308	0.912162	2
255.000000	-16.009761	-1.960684	2
260.000000	-20.478958	-0.520712	2
265.000000	-20.782024	-0.978590	2
270.000000	-19.292038	-1.433642	2
275.000000	-23.694726	-1.668279	2
280.000000	-26.559316	-0.376992	2
285.000000	-27.747472	-0.152487	2
290.000000	-27.668684	1.396123	2
295.001000	-29.108171	0.230474	2
300.001000	-29.039694	0.479797	2
